,state,commercial_sex_act_offense,commercial_sex_act_cleared,commercial_sex_act_cleared_under_18,involuntary_servitude_offense,involuntary_servitude_cleared,involuntary_servitude_cleared_under_18,total_offenses,total_cleared,total_under_18,year
42,Wisconsin,4,2,0,0,0,0,4,2,0,2015
43,Wyoming,0,0,0,1,0,0,1,0,0,2015
4,Alaska,11,8,0,1,0,0,12,8,0,2016
5,Arizona,19,5,0,0,0,0,19,5,0,2016
6,Arkansas,4,4,0,2,0,0,6,4,0,2016
7,Colorado,12,3,0,22,9,0,34,12,0,2016
8,Connecticut,1,0,0,1,0,0,2,0,0,2016
9,Delaware,0,0,0,0,0,0,0,0,0,2016
10,Florida,98,50,0,7,4,0,105,54,0,2016
11,Hawaii,2,0,0,0,0,0,2,0,0,2016
12,Illinois,21,0,0,3,0,0,24,0,0,2016
13,Indiana,4,2,2,0,0,0,4,2,2,2016
14,Kansas,0,0,0,2,1,0,2,1,0,2016
15,Louisiana,121,92,2,2,2,0,123,94,2,2016
16,Maryland,17,15,0,0,0,0,17,15,0,2016
17,Massachusetts,0,0,0,3,3,0,3,3,0,2016
18,Michigan,1,1,0,2,0,0,3,1,0,2016
19,Minnesota,235,191,1,0,0,0,235,191,1,2016
20,Mississippi,0,0,0,0,0,0,0,0,0,2016
21,Missouri,16,15,3,0,0,0,16,15,3,2016
22,Montana,1,0,0,0,0,0,1,0,0,2016
23,Nevada,140,58,35,0,0,0,140,58,35,2016
24,North Dakota,4,0,0,1,1,0,5,1,0,2016
25,Ohio,1,0,0,0,0,0,1,0,0,2016
26,Oklahoma,42,37,1,4,3,0,46,40,1,2016
27,Oregon,0,0,0,0,0,0,0,0,0,2016
28,Puerto Rico,0,0,0,0,0,0,0,0,0,2016
29,Rhode Island,5,2,0,1,0,0,6,2,0,2016
30,South Carolina,15,9,2,7,7,0,22,16,2,2016
31,South Dakota,0,0,0,0,0,0,0,0,0,2016
32,Tennessee,55,26,0,0,0,0,55,26,0,2016
33,Texas,130,51,2,127,27,0,257,78,2,2016
34,U.S. Virgin Islands,0,0,0,0,0,0,0,0,0,2016
35,Utah,0,0,0,0,0,0,0,0,0,2016
36,Vermont,2,2,0,0,0,0,2,2,0,2016
37,Washington,13,3,0,1,1,0,14,4,0,2016
38,Wisconsin,34,19,1,1,0,0,35,19,1,2016
39,Wyoming,3,2,0,2,1,0,5,3,0,2016
4,Alabama*,0,0,0,0,0,0,0,0,0,2017
5,Alaska,2,0,0,1,0,0,3,0,0,2017
6,Arizona,92,37,3,7,4,0,99,41,3,2017
7,Arkansas,0,0,0,0,0,0,0,0,0,2017
8,California*,0,0,0,0,0,0,0,0,0,2017
9,Colorado,49,14,0,7,0,0,56,14,0,2017
10,Connecticut,8,0,0,0,0,0,8,0,0,2017
11,Delaware,5,4,0,0,0,0,5,4,0,2017
12,Florida,65,51,0,24,7,0,89,58,0,2017
13,Georgia,0,0,0,0,0,0,0,0,0,2017
14,Guam,0,0,0,0,0,0,0,0,0,2017
15,Hawaii,2,1,0,0,0,0,2,1,0,2017
16,Idaho*,0,0,0,0,0,0,0,0,0,2017
17,Illinois,26,0,0,8,0,0,34,0,0,2017
18,Indiana,2,0,0,1,0,0,3,0,0,2017
19,Kansas,3,2,0,0,0,0,3,2,0,2017
20,Kentucky,8,0,0,14,0,0,22,0,0,2017
21,Louisiana,59,47,0,2,2,0,61,49,0,2017
22,Maine,2,0,0,0,0,0,2,0,0,2017
23,Maryland,0,0,0,0,0,0,0,0,0,2017
24,Massachusetts,17,5,0,11,2,0,28,7,0,2017
25,Michigan,11,2,0,11,0,0,22,2,0,2017
26,Minnesota,173,147,1,0,0,0,173,147,1,2017
27,Mississippi,0,0,0,0,0,0,0,0,0,2017
28,Missouri,25,16,1,3,0,0,28,16,1,2017
29,Montana,2,0,0,0,0,0,2,0,0,2017
30,Nebraska*,0,0,0,0,0,0,0,0,0,2017
31,Nevada,5,0,0,0,0,0,5,0,0,2017
32,New Hampshire,2,2,0,0,0,0,2,2,0,2017
33,New Mexico*,0,0,0,0,0,0,0,0,0,2017
34,New York*,0,0,0,0,0,0,0,0,0,2017
35,North Carolina*,0,0,0,0,0,0,0,0,0,2017
36,North Dakota,10,0,0,1,0,0,11,0,0,2017
37,Ohio,0,0,0,0,0,0,0,0,0,2017
38,Oklahoma,25,17,2,0,0,0,25,17,2,2017
39,Oregon,1,0,0,0,0,0,1,0,0,2017
40,Puerto Rico,0,0,0,0,0,0,1,0,0,2017
41,Rhode Island,12,3,0,1,1,0,13,4,0,2017
42,South Carolina,26,2,1,4,0,0,30,2,1,2017
43,South Dakota,3,0,0,0,0,0,3,0,0,2017
44,Tennessee,75,11,1,4,0,0,79,11,1,2017
45,Texas,193,82,4,119,59,16,312,141,20,2017
46,Utah,1,0,0,0,0,0,1,0,0,2017
47,Vermont,0,0,0,0,0,0,0,0,0,2017
48,Washington,29,6,0,1,1,0,30,7,0,2017
49,Wisconsin,59,16,0,6,2,0,65,18,0,2017
50,Wyoming,2,2,1,0,0,0,2,2,1,2017
